# x    sen(x)
1.000000e+00 8.914710e-01
1.081633e+00 8.527261e-01
1.163265e+00 8.981022e-01
1.244898e+00 9.273635e-01
1.326531e+00 8.703152e-01
1.408163e+00 9.868044e-01
1.489796e+00 8.272913e-01
1.571429e+00 9.333998e-01
1.653061e+00 9.966182e-01
1.734694e+00 9.555988e-01
1.816327e+00 9.790086e-01
1.897959e+00 9.169579e-01
1.979592e+00 9.576003e-01
2.061224e+00 9.021313e-01
2.142857e+00 8.307871e-01
2.224490e+00 7.538431e-01
2.306122e+00 7.916120e-01
2.387755e+00 6.944416e-01
2.469388e+00 6.127127e-01
2.551020e+00 5.668364e-01
2.632653e+00 4.872515e-01
2.714286e+00 4.044214e-01
2.795918e+00 3.488312e-01
2.877551e+00 2.809842e-01
2.959184e+00 1.413991e-01
3.040816e+00 1.200058e-01
3.122449e+00 2.014250e-02
3.204082e+00 -5.244832e-02
3.285714e+00 -1.736232e-01
3.367347e+00 -2.338416e-01
3.448980e+00 -3.325691e-01
3.530612e+00 -3.992814e-01
3.612245e+00 -4.334677e-01
3.693878e+00 -5.246338e-01
3.775510e+00 -6.023057e-01
3.857143e+00 -6.560328e-01
3.938776e+00 -7.753905e-01
4.020408e+00 -7.899836e-01
4.102041e+00 -7.994485e-01
4.183673e+00 -8.454557e-01
4.265306e+00 -9.307121e-01
4.346939e+00 -9.439630e-01
4.428571e+00 -9.899934e-01
4.510204e+00 -9.976302e-01
4.591837e+00 -1.060004e-00
4.673469e+00 -9.992427e-01
4.755102e+00 -9.880879e-01
4.836735e+00 -9.722790e-01
4.918367e+00 -9.388614e-01
5.000000e+00 -9.889243e-01
